,UK_B,US_B,JP_B,GE_B,CNY_FX,EUR_FX,GBP_FX,JPY_FX,GOLDS_C,EPRA_X,MXWD_X,NKY_X,SHCOMP_X,SPX_X,SX5E_X,UKX_X,ETH,LTC,DASH,XRP,BTC
2022-05-09,117.8729,112.4662,104.8934,108.4728,0.14857,1.0561,1.2332,0.0076739999999999985,1854.17,2074.6716300000007,623.77,201.99033,446.32748,3991.24,3729.30176,8911.0332,2249.8909622207443,77.62901854884313,71.34754359400047,0.4947442712197595,30269.586956629482
2022-05-10,119.0395,112.8756,104.9448,109.3158,0.14849,1.0529,1.2316,0.007666,1838.27,2083.08789,624.38,200.89905,450.77643,4001.05,3744.62622,8916.4043,2344.797715643986,80.20417321726917,73.31923971850014,0.5150902169040511,31026.93386836242
2022-05-11,118.8735,113.6923,105.0365,109.2629,0.14877,1.0513,1.2251,0.007695,1852.4,2146.89185,619.54,201.75201,455.04901,3935.18,3841.57178,9030.27441,2080.910243657776,66.44698876809255,58.28580651320062,0.41668999396116013,28913.48836365432
2022-05-12,120.688,114.0347,105.0952,110.659,0.14736,1.038,1.2202,0.007793,1821.82,2089.19824,615.27,200.5352,450.17078,3930.08,3742.7907700000014,8818.8877,1966.6991711336661,64.3748302656497,54.16752342242637,0.3877209670878742,29126.11597686014
2022-05-13,120.1884,113.3812,105.1291,109.8802,0.14729,1.0412,1.2262,0.007737999999999998,1811.79,2131.29468,629.19,204.27959,454.28601,4023.89,3854.88989,9076.84863,2010.214051125259,67.78872647354781,57.99987942356434,0.4221611103052877,29310.728959858257
2022-05-14,,,,,,,,,,,,,,,,,2064.229357512243,69.18036054658073,61.5287036684046,0.4300177313049834,30189.333177005963
2022-05-15,,,,,,,,,,,,,,,,,2147.047447880575,71.52515279056072,63.07882989210508,0.4481544456391356,31319.309111130002
2022-05-16,120.2622,113.8376,105.1444,110.0343,0.14736,1.0434,1.2319,0.007745,1824.14,2159.42407,627.86,205.71135,452.9411,4008.01,3841.96704,9163.78809,2025.8886983912162,67.2571317101658,57.66348776958313,0.4235522358019889,29923.606993639707
2022-05-17,118.6715,112.9682,105.1183,108.9024,0.14842,1.055,1.2493,0.00773,1815.16,2193.08105,640.43,206.0896,459.16217,4088.85,3944.6740700000014,9383.65234,2095.178884796724,72.96254840854071,60.35050204207101,0.439154212031743,30502.19328027689
2022-05-18,118.9082,113.8551,105.1232,109.2217,0.14806,1.0464,1.2341,0.007798999999999999,1816.6,2185.73193,623.64,209.68677,456.89749000000006,3923.68,3870.479,9210.58691,1915.1771232664505,66.1633035863086,55.638202301638316,0.4064758494281428,28772.200501112577
2022-05-19,118.8991,114.2759,105.1892,109.9444,0.14898,1.0588,1.2467,0.007823,1841.85,2183.84229,619.58,206.91881,461.3728,3900.79,3856.43457,9127.69434,2023.8482593608173,72.25395750066285,58.44019448026772,0.42163047872276826,30382.40624219559
2022-05-20,118.6203,114.8625,105.3413,110.0119,0.14941,1.0564,1.248,0.00782,1846.5,2196.54443,621.89,209.38943,470.12805,3901.36,3857.80103,9216.7832,1963.9909395294865,68.70746133363836,57.613881571281595,0.41149336598683217,29256.813374416255
2022-05-21,,,,,,,,,,,,,,,,,1978.1471325624789,69.75664148795661,57.048405002648146,0.41527535302800195,29491.507947760598
2022-05-22,,,,,,,,,,,,,,,,,2046.6463496545232,71.80883369609995,61.55842328258982,0.4228608764476286,30351.050417138096
2022-05-23,117.7211,114.1333,105.2766,109.285,0.15038,1.0691,1.2588,0.007819,1853.59,2247.09204,631.44,211.19687,473.2258,3973.75,3959.448,9442.8916,1974.5811944790914,69.2202232544868,59.79891345580537,0.4055009945873183,29163.167775739188
2022-05-24,118.9174,115.1355,105.3625,109.9447,0.1503,1.0736,1.2532,0.007884,1866.45,2219.33179,625.72,211.33081,461.52982,3941.48,3914.19653,9381.63281,1979.770545006472,70.37967753499669,62.45429018534658,0.40920231512538,29655.02613175249
2022-05-25,118.4826,115.347,105.5992,109.9162,0.14941,1.0681,1.2574,0.007855,1853.46,2198.95752,629.97,209.2869,464.26486,3978.73,3917.94995,9427.51074,1944.8428445072448,68.24843994845807,62.31408833015935,0.40630298199560927,29584.949851985926
2022-05-26,117.7684,115.2667,105.3844,109.351,0.14839000000000002,1.0725,1.26,0.007869,1850.63,2217.86572,639.3,208.89479,463.44476,4057.84,4004.37598,9512.88672,1807.9694742881136,63.866716188621304,58.79482693769805,0.39439817694614954,29346.781442431617
2022-05-27,118.277,115.3944,105.3571,109.6349,0.14927,1.0735,1.2631,0.007868,1853.72,2261.2666,652.84,210.64716,467.24185,4158.24,4079.28906,9562.98926,1724.8757340323443,61.47880916641328,54.79499670757537,0.3822834941737768,28646.65218193245
2022-05-28,,,,,,,,,,,,,,,,,1798.6948545788846,63.16478340880825,56.72969171863846,0.38701377546048005,29088.236452817226
2022-05-29,,,,,,,,,,,,,,,,,1814.9831598025937,63.80994739891105,57.95508874987638,0.3898603598259622,29492.503214953642
2022-05-30,117.6638,115.4031,105.363,108.8718,0.15012,1.0779,1.2652,0.007838,1855.23,2278.98462,656.87,214.57805,472.7326,,4143.57129,9617.87598,1995.9364841552344,69.12239469709459,63.11860229915349,0.4187053842908315,31740.94072516695
2022-05-31,116.3925,114.2678,105.236,108.0266,0.14988,1.0734,1.2602,0.00777,1837.35,2249.89941,652.81,212.21159,477.59631,4132.15,4066.58008,9600.86719,1944.078766836179,68.50657607208066,64.75462352488805,0.42444803071239395,31865.749621173167
2022-06-01,116.1488,113.6174,105.271,107.555,0.14956,1.065,1.2487,0.007683,1846.6,2187.7932100000007,647.87,211.00354,475.92892,4101.23,3999.77466,9393.58887,1828.8926546074292,63.12657633095472,59.44698741211833,0.39934393599772106,29833.450330205254
2022-06-02,116.1555,113.7351,105.2022,106.9964,0.15014,1.0747,1.2578,0.007698,1868.58,2200.53247,656.45,211.23347,479.77689,4176.82,4077.48779,,1833.089840845753,64.30984659190571,59.992788321822275,0.40595433920895124,30481.013996026013
